period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_CAGED
2014-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_012014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012014;";&CAGEDEST_012014.txt"
2014-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_022014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022014;";&CAGEDEST_022014.txt"
2014-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_032014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032014;";&CAGEDEST_032014.txt"
2014-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_042014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042014;";&CAGEDEST_042014.txt"
2014-05m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_052014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_052014;";&CAGEDEST_052014.txt"
2014-06m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_062014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_062014;";&CAGEDEST_062014.txt"
2014-07m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_072014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_072014;";&CAGEDEST_072014.txt"
2014-08m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_082014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_082014;";&CAGEDEST_082014.txt"
2014-09m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_092014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_092014;";&CAGEDEST_092014.txt"
2014-10m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_102014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_102014;";&CAGEDEST_102014.txt"
2014-11m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_112014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_112014;";&CAGEDEST_112014.txt"
2014-12m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2014/CAGEDEST_122014.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_122014;";&CAGEDEST_122014.txt"
2015-01m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_012015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_012015;";&CAGEDEST_012015.txt"
2015-02m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_022015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_022015;";&CAGEDEST_022015.txt"
2015-03m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_032015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_032015;";&CAGEDEST_032015.txt"
2015-04m;csv;ftp://ftp.mtps.gov.br/pdet/microdados/CAGED/2015/CAGEDEST_042015.7z;source;;{&{ñ&{ñ &{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;CAGEDEST_042015;";&CAGEDEST_042015.txt"
