period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_graduacao_presencial;ft_ies;ft_graduacao_distancia;ft_sequenciais_comple_pres;ft_sequenciais_forme_dis;ft_sequenciais_forme_pres;ft_local;ft_aluno;ft_docente;ft_sequenciais_comple_dis;BIBLIOTECA;ft_vagas_ead
2005;fwf;http://download.inep.gov.br/microdados/microdados_censo_educacao_superior_2005.zip;source;microdados_censo_educacao_superior_2005/Microdados do Censo da Educação Superior 2005;INPUTS_SAS_SPSS;DADOS;NA;INPUT_GRADUACAO_PRESENCIAL_SAS_2005.SAS&GRADUACAO_PRESENCIAL_2005.txt;INPUT_INSTITUICOES_SAS_2005.sas&INSTITUICAO.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2005.SAS&GRADUACAO_DISTANCIA.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2005.SAS&SECOMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2005.SAS&FORME_DISTANCIA.txt;INPUT_SEQUENCIAiS_FORME_PRES_SAS_2005.sas&FORME_PRESENCIAL.txt;NA;NA;NA;NA;NA;NA
2006;fwf;http://download.inep.gov.br/microdados/microdados_educacao_superior_2006.zip;source;microdados_educacao_superior_2006/MICRODADOS DA EDUCAÇÃO SUPERIOR2006;INPUTS_SAS_SPSS;DADOS;NA;INPUT_GRADUACAO_PRESENCIAL_SAS_2006.SAS&GRADUACAO_PRESENCIAL.txt;INPUT_INSTITUICOES_SAS_2006.sas&INSTITUICAO.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2006.SAS&GRADUACAO_DISTANCIA.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2006.SAS&SECOMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2006.SAS&FORME_DISTANCIA.txt;INPUT_SEQUENCIAIS_FORME_PRES_SAS_2006.sas&FORME_PRESENCIAL.txt;NA;NA;NA;INPUT_SEQUENCIAIS_COMPLE_DIS_SAS_2006.SAS&SECOMPLE_DISTANCIA.txt;NA;NA
2007;fwf;http://download.inep.gov.br/microdados/microdados_educacao_superior_2007.zip;source;microdados_educacao_superior_2007/MICRODADOS  DA EDUCAÇÃO SUPERIOR2007;INPUTS_SAS_SPSS;DADOS;NA;INPUT_GRADUACAO_PRESENCIAL_SAS_2007.SAS&GRADUACAO_PRESENCIAL.txt;INPUT_INSTITUICOES_SAS_2007.sas&INSTITUICAO.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2007.SAS&GRADUACAO_DISTANCIA.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2007.SAS&SECOMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2007.SAS&FORME_DISTANCIA.txt;INPUT_SEQUENCIAIS_FORME_PRES_SAS_2007.sas&FORME_PRESENCIAL.txt;NA;NA;NA;INPUT_SEQUENCIAIS_COMPLE_DIS_SAS_2007.SAS&SECOMPLE_DISTANCIA.txt;NA;NA
2008;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior2008.zip;source;micro_censo_edu_superior2008;INPUTS_SAS_SPSS;DADOS;NA;INPUT_GRADUACAO_PRESENCIAL_SAS_2008.SAS&GRADUACAO_PRESENCIAL.txt;INPUT_INSTITUICOES_SAS_2008.sas&INSTITUICAO.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2008.SAS&GRADUACAO_DISTANCIA.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2008.SAS&SECOMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2008.SAS&FORME_DISTANCIA.txt;INPUT_SEQUENCIAIS_FORME_PRES_SAS_2008.sas&FORME_PRESENCIAL.txt;NA;NA;NA;INPUT_SEQUENCIAIS_COMPLE_DIS_SAS_2008.SAS&SECOMPLE_DISTANCIA.txt;NA;NA
2009;csv;http://download.inep.gov.br/microdados/microdados_censo_superior_2009.zip;source;microdados_censo_superior_2009/2009;NA;DADOS;NA;|&DM_CURSO.csv;|&DM_IES.csv;NA;NA;NA;NA;|&DM_UNIDADE_FUNCIONAMENTO.csv;|&DM_ALUNO.csv;|&DM_DOCENTE.csv;NA;|&DM_BIBLIOTECA.csv;|&DM_VAGAS_INSCRITOS_EAD.csv
2010;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior2010.zip;source;micro_censo_edu_superior2010;INPUTS_SAS_SPSS/ARQUIVO SAS;DADOS;NA;INPUT_SAS_CURSO.sas&CURSO.txt;INPUT_SAS_IES.sas&IES.txt;NA;NA;NA;NA;INPUT_SAS_LOCAL_OFERTA_POLO.sas&LOCAL_OFERTA_POLO.txt;INPUT_SAS_ALUNO.sas&ALUNO.txt;INPUT_SAS_DOCENTE.sas&DOCENTE.txt;NA;NA;NA
2011;fwf;http://download.inep.gov.br/microdados/microdados_educacao_superior_2011.zip;source;microdados_educacao_superior_2011/Microdados  Educação Superior 2011;INPUTS_SAS_SPSS/ARQUIVO SAS;DADOS;NA;INPUT_SAS_CURSO.sas&CURSO.txt;INPUT_SAS_IES.sas&INSTITUICAO.txt;NA;NA;NA;NA;INPUT_SAS_LOCAL_OFERTA_POLO.sas&LOCAL_OFERTA_POLO.txt;INPUT_SAS_ALUNO.sas&ALUNO.txt;INPUT_SAS_DOCENTE.sas&DOCENTE.txt;NA;NA;NA
2012;fwf;http://download.inep.gov.br/microdados/microdados_educacao_superior_2012.zip;source;microdados_educacao_superior_2012;INPUTS_SAS_SPSS/ARQUIVO SAS;DADOS;NA;INPUT_SAS_CURSO.sas&CURSO.txt;INPUT_SAS_IES.sas&INSTITUICAO.txt;NA;NA;NA;NA;INPUT_SAS_LOCAL_OFERTA_POLO.sas&LOCAL_OFERTA.txt;INPUT_SAS_ALUNO.sas&ALUNO.txt;INPUT_SAS_DOCENTE.sas&DOCENTE.txt;NA;NA;NA
2013;csv;http://download.inep.gov.br/microdados/microdados_educacao_superior_2013.zip;source;microdados_educacao_superior_2013/Microdados Censo Superior 2013 - PRELIMINAR;NA;Dados;NA;|&DM_CURSO.csv;|&DM_IES.csv;NA;NA;NA;NA;|&DM_LOCAL_OFERTA.csv;|&DM_ALUNO.csv;|&DM_DOCENTE.csv;NA;NA;NA
2014;csv;http://download.inep.gov.br/microdados/microdados_educacao_superior_2014.zip;source;microdados_educacao_superior_2014/microdados_educacao_superior_2014;NA;Dados;NA;|&DM_CURSO.csv;|&DM_IES.csv;NA;NA;NA;NA;|&DM_LOCAL_OFERTA.csv;|&DM_ALUNO.csv;|&DM_DOCENTE.csv;NA;NA;NA
